date,open,high,low,close,volume
2022-07-05,137.78,141.61,136.93,141.56,53406763
2022-07-06,141.36,144.12,141.08,142.92,57300680
2022-07-07,143.27,146.55,143.27,146.35,49886460
2022-07-08,145.21,147.55,145.0,147.04,51397936
2022-07-11,145.71,146.64,143.78,144.87,43877891
2022-07-12,145.84,148.45,145.05,145.86,58581018
2022-07-13,142.99,146.45,142.12,145.49,50584910
2022-07-14,144.08,148.95,143.25,148.47,60876928
2022-07-15,149.82,150.86,148.2,150.17,55486325
2022-07-18,150.74,151.57,146.7,147.07,60692183
2022-07-19,147.93,151.23,146.91,151.0,59079360
2022-07-20,151.07,153.72,150.37,153.04,49598113
2022-07-21,154.5,155.57,151.94,155.35,47481311
2022-07-22,155.39,156.28,153.41,154.09,50922940
2022-07-25,154.01,155.04,152.28,152.95,40898826
2022-07-26,152.26,153.09,150.8,151.6,39639710
2022-07-27,152.55,157.33,152.16,156.79,52856095
2022-07-28,156.98,157.64,154.41,157.35,51858762
2022-07-29,161.24,163.63,159.5,162.51,68695588
2022-08-01,161.01,163.59,160.89,161.51,46192783
2022-08-02,160.15,162.41,159.63,160.01,42690106
2022-08-03,160.84,166.59,160.75,166.13,58696162
2022-08-04,166.01,167.19,164.43,165.81,40438199
2022-08-05,163.23,165.85,163.0,165.35,41337412
2022-08-08,166.37,167.81,164.2,164.87,39581359
2022-08-09,164.0,165.82,163.25,164.92,42801507
2022-08-10,167.66,169.34,166.9,169.24,49256530
2022-08-11,170.06,170.99,168.19,168.49,41332907
2022-08-12,169.82,172.17,169.4,172.1,48844140
2022-08-15,171.5,173.39,171.34,173.19,36483134
2022-08-16,172.78,173.71,171.66,173.03,40014946
2022-08-17,172.77,176.15,172.57,174.55,61096358
2022-08-18,173.74,174.9,173.12,174.15,47353875
2022-08-19,173.03,173.74,171.31,171.52,51821632
2022-08-22,169.7,169.86,167.13,167.57,47281689
2022-08-23,167.12,168.71,166.65,167.23,40082623
2022-08-24,167.41,168.11,166.24,167.53,40185028
