date,open,high,low,close,volume
2022-07-05,107.72,114.08,106.32,113.5,55370258
2022-07-06,113.26,115.48,112.01,114.33,48732347
2022-07-07,113.87,116.99,113.49,116.33,44068200
2022-07-08,114.61,116.58,113.69,115.54,35112717
2022-07-11,114.06,114.3,110.87,111.75,37691783
2022-07-12,112.22,113.23,108.34,109.22,38989846
2022-07-13,107.03,111.78,106.01,110.4,45132415
2022-07-14,110.23,111.18,107.58,110.63,37216806
2022-07-15,112.52,115.59,111.59,113.55,59374148
2022-07-18,115.05,117.24,113.15,113.76,42726979
2022-07-19,115.7,118.95,114.03,118.21,43333623
2022-07-20,118.61,123.48,118.32,122.77,55083710
2022-07-21,123.2,124.85,121.26,124.63,44529466
2022-07-22,125.01,125.5,121.35,122.42,37529510
2022-07-25,122.76,123.64,120.03,121.14,34658947
2022-07-26,115.76,118.15,114.53,114.81,46299170
2022-07-27,117.3,121.9,117.16,120.97,43820255
2022-07-28,121.57,122.84,118.08,122.28,44483296
2022-07-29,134.88,137.65,132.41,134.95,106139663
2022-08-01,135.05,138.84,133.51,135.39,58846435
2022-08-02,134.67,137.44,134.09,134.16,47674805
2022-08-03,136.21,140.49,136.05,139.52,52473442
2022-08-04,140.61,143.56,139.55,142.57,54062438
2022-08-05,140.16,142.86,139.6,140.8,37235128
2022-08-08,142.05,144.23,138.29,139.41,38424360
2022-08-09,138.07,138.96,136.21,137.83,27981207
2022-08-10,142.78,144.6,141.01,142.69,36693609
2022-08-11,143.86,144.49,139.76,140.64,32364307
2022-08-12,142.09,143.57,140.12,143.55,33143829
2022-08-15,142.77,143.76,141.49,143.18,27890528
2022-08-16,143.91,146.57,142.0,144.78,42705872
2022-08-17,142.69,143.38,140.78,142.1,34922339
2022-08-18,141.31,142.77,140.38,142.3,26574953
2022-08-19,140.47,141.11,137.91,138.23,31944126
2022-08-22,135.69,136.32,132.85,133.22,33869329
2022-08-23,133.4,134.99,132.95,133.62,25284051
2022-08-24,132.75,135.47,132.1,133.8,26008322
2022-08-25,135.26,137.42,134.28,137.28,25998044
2022-08-26,136.58,137.83,130.5,130.75,35439021
2022-08-29,129.79,131.95,128.77,129.79,33300676
2022-08-30,131.26,132.08,126.85,128.73,34548368
2022-08-31,129.45,130.59,126.74,126.77,32911323
2022-09-01,126.0,128.02,123.66,127.82,40468797
2022-09-02,129.5,131.38,126.39,127.51,41639011
2022-09-06,127.93,128.62,124.74,126.11,30462207
2022-09-07,126.23,129.82,125.4,129.48,30122627
2022-09-08,127.72,130.28,127.1,129.82,30695395
2022-09-09,130.91,133.69,130.76,133.27,35829232
2022-09-12,134.17,136.49,134.0,136.45,36242127
2022-09-13,131.02,131.4,126.28,126.82,49302359
2022-09-14,127.5,128.84,126.33,128.55,31955903
2022-09-15,127.36,130.37,125.49,126.28,35060340
2022-09-16,122.76,123.87,120.7,123.53,63518325
2022-09-19,122.16,124.71,121.8,124.66,33938810
2022-09-20,123.35,124.4,121.14,122.19,34710336
2022-09-21,122.49,123.76,118.45,118.54,42250521
2022-09-22,117.05,118.79,116.26,117.31,39612040
2022-09-23,115.93,116.05,112.06,113.78,44652021
2022-09-26,113.3,117.34,113.13,115.15,44781854
2022-09-27,117.2,118.32,113.05,114.41,43525933
2022-09-28,114.44,118.7,113.8,118.01,38912116
2022-09-29,115.6,116.07,113.06,114.8,39595787
2022-09-30,114.1,116.92,112.84,113.0,39354351
2022-10-03,113.62,116.91,112.45,115.88,33667905
2022-10-04,119.88,123.0,119.79,121.09,45023507
2022-10-05,118.58,121.75,117.69,120.95,35670896
2022-10-06,120.75,121.53,119.5,120.3,31246718
2022-10-07,118.01,118.17,113.88,114.56,36690609
2022-10-10,114.99,116.25,112.43,113.67,31574423
2022-10-11,112.74,115.48,110.39,112.21,41814485
2022-10-12,112.49,113.83,111.4,112.9,33953692
2022-10-13,107.88,113.44,105.34,112.53,65551388
2022-10-14,114.16,114.96,106.6,106.9,47911460
2022-10-17,110.11,114.19,110.09,113.79,45199515
2022-10-18,119.06,119.52,114.79,116.36,47944246
2022-10-19,114.71,116.6,113.22,115.07,34596813
2022-10-20,113.85,118.24,113.51,115.25,36185386
2022-10-21,115.12,119.59,114.5,119.32,41406594
2022-10-24,119.99,120.39,116.57,119.82,34806346
2022-10-25,119.62,121.32,118.95,120.6,34316443
2022-10-26,115.71,119.35,114.76,115.66,51568683
2022-10-27,113.93,114.12,109.77,110.96,63622074
2022-10-28,97.91,103.96,97.66,103.41,173882060
2022-10-31,103.7,104.87,100.74,102.44,71655739
2022-11-01,104.05,104.58,96.06,96.79,120831029
2022-11-02,97.31,97.74,92.01,92.12,100695290
2022-11-03,92.47,93.5,89.02,89.3,107885335
2022-11-04,91.51,92.44,88.04,90.98,92893079
2022-11-07,91.95,92.11,89.04,90.53,60280443
2022-11-08,90.79,91.72,88.23,89.98,63912285
2022-11-09,89.48,89.49,85.87,86.14,68941489
2022-11-10,92.94,98.69,91.65,96.63,128970647
2022-11-11,97.96,101.19,96.66,100.79,89324291
2022-11-14,98.7,100.12,97.29,98.49,70185333
2022-11-15,103.21,103.79,97.34,98.94,86953950
2022-11-16,96.84,98.49,95.54,97.12,69157436
2022-11-17,95.37,96.97,94.03,94.85,62624749
2022-11-18,95.85,95.99,92.48,94.14,54949055
2022-11-21,93.97,95.02,90.59,92.46,66201576
2022-11-22,92.61,93.35,90.87,93.2,47119926
2022-11-23,93.24,94.58,92.83,94.13,45636934
2022-11-25,93.72,94.43,93.06,93.41,27635589
2022-11-28,93.96,96.4,93.43,93.95,60642934
2022-11-29,94.05,94.41,91.44,92.42,51941284
2022-11-30,92.45,96.54,91.52,96.54,71829519
2022-12-01,96.98,97.23,94.92,95.5,49679713
2022-12-02,94.47,95.36,93.78,94.13,51467291
2022-12-05,93.05,94.06,90.82,91.01,53699039
2022-12-06,90.52,91.04,87.94,88.25,56770402
2022-12-07,88.33,89.89,87.48,88.46,50979507
2022-12-08,89.24,90.86,87.88,90.35,56430710
2022-12-09,88.89,90.3,88.63,89.09,48141484
2022-12-12,89.18,90.58,87.87,90.55,43360191
2022-12-13,95.2,96.25,90.52,92.49,70539568
2022-12-14,92.56,93.46,89.87,91.58,53640738
2022-12-15,89.89,89.97,87.47,88.45,58692010
2022-12-16,88.27,89.35,86.73,87.86,61797960
2022-12-19,87.52,87.63,84.51,84.92,61806896
2022-12-20,85.36,86.61,84.33,85.19,54742942
2022-12-21,86.17,87.23,85.21,86.77,47477741
2022-12-22,85.52,85.68,82.25,83.79,61366408
2022-12-23,83.25,85.78,82.93,85.25,45082160
2022-12-27,84.99,85.35,83.0,83.04,42480957
2022-12-28,82.82,83.48,81.69,81.82,44592938
2022-12-29,82.87,84.55,82.55,84.18,40858705
2022-12-30,83.13,84.05,82.47,84.0,43759501
2023-01-03,85.44,86.96,84.2,85.82,46185504
2023-01-04,86.51,86.98,83.36,85.14,51631225
2023-01-05,85.33,85.42,83.07,83.12,47690809
2023-01-06,83.05,86.4,81.43,86.08,63226384
2023-01-09,87.47,89.48,87.08,87.36,49839706
2023-01-10,87.6,90.19,87.29,89.87,51271686
2023-01-11,90.93,95.26,90.93,95.09,83364141
2023-01-12,96.93,97.19,93.5,95.27,64891695
2023-01-13,94.19,98.37,94.12,98.12,67339137
2023-01-17,98.69,98.89,95.73,96.05,55212877
2023-01-18,97.27,99.32,95.38,95.46,62944103
2023-01-19,94.77,95.44,92.86,93.68,51534305
2023-01-20,93.86,97.36,93.2,97.25,49129779
2023-01-23,97.54,97.79,95.86,97.52,59379653
2023-01-24,96.94,98.09,96.0,96.32,43262928
2023-01-25,92.58,97.24,91.52,97.18,75540721
2023-01-26,98.17,99.49,96.92,99.22,53215709
2023-01-27,99.58,103.49,99.53,102.24,68738654
2023-01-30,101.09,101.74,99.01,100.55,54155465
2023-01-31,101.16,103.35,101.14,103.13,49212315
2023-02-01,102.54,106.24,101.24,105.15,58711603
2023-02-02,110.25,114.0,108.88,112.91,107065751
2023-02-03,105.23,108.78,102.52,103.39,109498492
2023-02-06,102.93,103.95,100.65,102.18,63988817
2023-02-07,101.25,102.41,98.08,102.11,94462627
2023-02-08,102.02,102.67,98.77,100.05,52998352
2023-02-09,101.32,101.78,97.57,98.24,48956858
2023-02-10,97.54,98.82,96.23,97.61,40302844
2023-02-13,97.7,99.68,96.91,99.54,38170491
2023-02-14,98.4,100.93,97.52,99.7,42439315
2023-02-15,99.09,101.17,98.45,101.16,34439820
2023-02-16,99.23,100.63,98.1,98.15,39282327
2023-02-17,97.78,97.94,95.65,97.2,41347310
2023-02-21,95.33,95.61,94.27,94.58,36363508
2023-02-22,95.1,97.01,94.8,95.79,42420387
2023-02-23,96.14,96.43,93.67,95.82,37075769
2023-02-24,93.53,94.14,92.31,93.5,40912082
2023-02-27,94.28,94.78,93.14,93.76,33768954
2023-02-28,93.2,94.69,92.92,94.23,29483410
2023-03-01,93.87,94.68,91.59,92.17,39577489
2023-03-02,91.41,92.23,90.39,92.13,42614736
2023-03-03,92.74,94.94,92.66,94.9,39729238
2023-03-06,95.24,96.55,93.74,93.75,37610069
2023-03-07,94.03,95.09,92.78,93.55,37279964
2023-03-08,93.61,94.17,92.18,93.92,35878397
2023-03-09,93.68,96.21,92.18,92.25,42878698
2023-03-10,92.7,93.57,90.24,90.73,53584202
2023-03-13,89.97,94.02,88.12,92.43,53755468
2023-03-14,93.83,95.06,92.71,94.88,43992952
2023-03-15,93.23,96.67,93.07,96.2,49240090
2023-03-16,95.75,100.99,95.61,100.04,61937398
2023-03-17,99.79,100.66,97.45,98.95,51092952
