date,open,high,low,close,volume
2022-07-05,179.01,188.97,175.72,187.02,3895887
2022-07-06,188.29,190.7,183.06,185.92,2134921
2022-07-07,185.32,192.82,185.32,190.2,2174410
2022-07-08,185.0,194.85,184.1,190.38,1865487
2022-07-11,187.65,188.38,181.05,185.37,1418653
2022-07-12,186.44,190.21,172.9,174.39,2553460
2022-07-13,169.98,178.74,168.33,174.97,1803322
2022-07-14,172.34,174.67,167.65,172.75,1593948
2022-07-15,174.07,179.22,171.13,177.9,1819930
2022-07-18,183.58,183.7,176.71,177.25,1717729
2022-07-19,179.85,180.71,174.5,180.55,1413683
2022-07-20,182.99,187.54,181.03,184.3,1826610
2022-07-21,183.55,189.24,181.61,189.0,1293334
2022-07-22,190.0,193.92,181.0,183.53,1682139
2022-07-25,182.8,184.08,178.43,182.62,945712
2022-07-26,182.17,182.61,168.1,169.17,2100653
2022-07-27,175.29,178.71,171.5,176.96,1664091
2022-07-28,177.13,182.55,174.75,182.09,1592693
2022-07-29,182.91,184.0,178.06,183.6,1570778
2022-08-01,180.92,187.65,178.99,183.3,1461228
2022-08-02,180.52,189.64,179.52,188.14,1805652
2022-08-03,191.09,197.14,190.8,195.32,1964407
2022-08-04,191.21,192.0,182.45,189.24,3267643
2022-08-05,186.0,192.61,184.82,191.17,1711028
2022-08-08,193.38,197.48,188.91,189.52,2157231
2022-08-09,188.0,190.0,184.82,186.78,1086828
2022-08-10,194.3,201.74,193.33,200.8,2476337
2022-08-11,204.31,205.73,196.07,198.06,1891055
2022-08-12,202.99,203.0,199.03,200.87,966822
2022-08-15,200.18,202.9,196.21,201.82,1623845
2022-08-16,200.0,201.07,195.78,200.41,1855213
2022-08-17,196.24,198.51,194.27,196.89,1307127
2022-08-18,195.33,197.25,193.81,195.76,923218
2022-08-19,192.74,193.5,188.55,190.52,1208489
2022-08-22,186.62,188.65,184.0,185.88,1376657
2022-08-23,191.46,193.89,190.09,192.36,2130050
2022-08-24,195.99,199.41,194.59,194.62,1957605
2022-08-25,199.3,203.67,197.54,202.94,1944774
2022-08-26,202.66,202.7,194.52,194.56,1980090
2022-08-29,191.11,197.19,190.69,192.05,1641045
2022-08-30,196.3,198.14,189.12,193.3,4047406
2022-08-31,197.21,197.94,178.38,182.61,11296147
2022-09-01,178.45,180.0,169.08,172.97,4657740
2022-09-02,174.69,177.13,170.91,172.45,2849640
2022-09-06,172.45,172.69,168.62,171.15,1768996
2022-09-07,170.69,173.09,166.8,171.96,1953993
2022-09-08,170.17,179.88,169.16,179.88,1997910
2022-09-09,183.74,191.52,183.71,190.86,2630622
2022-09-12,191.28,195.29,191.25,195.1,1793156
2022-09-13,186.61,189.8,183.0,184.7,2520744
2022-09-14,184.7,185.49,181.5,184.11,1669926
2022-09-15,181.68,185.14,177.88,178.86,1699510
2022-09-16,174.14,175.2,169.38,171.01,2421145
2022-09-19,170.22,175.85,170.0,175.39,1408295
2022-09-20,173.8,175.96,172.62,173.87,1313882
2022-09-21,173.67,176.85,169.24,169.25,2209258
2022-09-22,166.89,169.13,159.67,161.28,2009341
2022-09-23,159.08,161.65,157.06,160.39,1867851
2022-09-26,160.16,165.8,159.13,159.35,1716993
2022-09-27,163.96,165.12,160.16,162.58,1323635
2022-09-28,164.34,167.9,162.57,167.25,1550854
2022-09-29,163.23,166.24,160.89,165.7,1268842
2022-09-30,166.15,171.61,164.6,164.81,1652112
2022-10-03,166.63,170.69,163.89,169.31,1621690
2022-10-04,174.6,178.69,173.0,175.07,1693113
2022-10-05,171.02,178.34,170.35,176.7,1198221
2022-10-06,178.42,181.84,176.63,178.39,1579078
2022-10-07,174.44,175.22,170.33,171.88,1559419
2022-10-10,171.7,172.46,160.29,161.08,2054169
2022-10-11,159.02,160.5,151.75,155.79,2227047
2022-10-12,154.08,155.78,149.5,152.99,1950701
2022-10-13,145.84,155.43,142.36,152.6,2307716
2022-10-14,155.65,156.54,145.82,145.98,2657713
2022-10-17,149.35,154.04,148.0,151.61,1807425
2022-10-18,158.62,161.5,154.79,156.88,2397542
2022-10-19,155.41,157.01,151.41,152.54,1181961
2022-10-20,152.33,158.45,152.1,153.88,1268338
2022-10-21,152.71,157.05,148.58,156.32,1728984
2022-10-24,158.11,158.7,154.22,157.97,1262056
2022-10-25,159.22,164.67,159.21,162.11,1316976
2022-10-26,157.28,167.36,156.79,161.77,1494278
2022-10-27,164.75,168.13,162.05,164.73,1328072
2022-10-28,162.55,164.98,158.86,163.65,1104881
2022-10-31,161.62,164.81,159.6,161.2,1369296
2022-11-01,165.0,168.48,159.54,160.53,1246880
2022-11-02,161.0,161.17,147.94,147.99,2912981
2022-11-03,146.14,146.14,139.67,141.53,2522621
2022-11-04,140.96,141.17,126.42,127.56,5633870
2022-11-07,129.83,129.9,122.9,124.68,3466174
2022-11-08,125.9,129.83,120.5,127.0,2923149
2022-11-09,124.58,124.67,120.5,122.36,2150902
2022-11-10,132.47,136.1,130.68,135.76,3082579
2022-11-11,136.75,144.83,135.34,143.12,2871556
2022-11-14,141.55,144.13,138.29,142.01,1968314
2022-11-15,148.99,151.43,146.03,148.3,2463505
2022-11-16,146.71,147.63,142.09,143.65,1474847
2022-11-17,139.62,141.37,137.87,139.23,2479817
2022-11-18,146.51,146.72,137.2,138.99,3696261
2022-11-21,137.11,137.51,134.38,135.56,1823169
2022-11-22,135.82,136.31,132.48,135.8,2234013
2022-11-23,135.58,141.62,133.84,140.89,1574607
2022-11-25,139.85,141.37,138.52,140.05,623061
2022-11-28,139.33,141.0,136.66,139.45,2187922
2022-11-29,140.0,140.32,136.25,138.0,3788385
2022-11-30,112.29,117.81,108.89,117.65,29276044
2022-12-01,118.64,124.92,118.57,124.07,10480665
2022-12-02,121.46,125.55,120.73,124.0,6099435
2022-12-05,122.81,124.41,116.69,118.33,3832567
2022-12-06,118.34,118.8,112.99,113.83,3145023
2022-12-07,114.33,114.99,110.33,113.2,2650629
2022-12-08,113.53,116.37,111.75,114.24,2804836
2022-12-09,113.76,117.0,112.95,115.08,1678200
2022-12-12,114.76,118.55,114.4,118.54,1913489
2022-12-13,124.57,125.52,118.43,120.99,2831451
2022-12-14,120.8,123.8,118.8,120.57,2448057
2022-12-15,118.82,121.09,114.67,114.99,1739018
2022-12-16,114.05,114.92,110.76,111.5,2030713
2022-12-19,110.82,111.29,107.58,108.09,2588326
2022-12-20,107.25,110.49,106.02,109.83,2073464
2022-12-21,108.84,109.12,104.35,107.35,4750431
2022-12-22,104.74,105.67,101.87,103.97,2599489
2022-12-23,103.13,103.28,100.95,101.99,2078400
2022-12-27,101.07,102.32,99.31,100.66,1813795
2022-12-28,99.6,101.68,98.7,99.96,2259720
2022-12-29,101.43,105.51,100.47,104.57,1999243
2022-12-30,103.33,106.19,102.99,105.29,2083047
2023-01-03,107.5,108.46,101.71,103.28,1892167
2023-01-04,104.78,106.89,102.54,104.37,1788565
2023-01-05,98.0,98.01,94.51,94.89,6903093
2023-01-06,94.47,95.96,92.26,94.72,4147568
2023-01-09,97.04,99.8,95.8,96.57,4474892
2023-01-10,94.54,96.03,92.25,95.67,5400976
2023-01-11,96.83,98.5,94.88,97.0,3219684
2023-01-12,97.0,98.05,92.71,97.98,3331520
2023-01-13,96.43,99.93,96.13,99.53,2618606
2023-01-17,100.02,105.76,98.13,104.43,4451990
2023-01-18,106.77,107.4,100.9,101.0,3726441
2023-01-19,99.35,101.79,98.2,99.85,3288028
2023-01-20,100.32,103.76,99.57,103.41,2585670
2023-01-23,102.07,106.35,102.01,106.3,2513206
2023-01-24,107.16,109.01,104.13,104.6,3563776
2023-01-25,101.72,101.94,97.26,100.82,5639727
2023-01-26,102.63,104.55,100.88,104.47,4249063
2023-01-27,103.68,105.85,102.52,104.35,4337328
2023-01-30,102.89,103.58,100.87,101.37,3563627
2023-01-31,101.17,105.92,100.74,105.9,3011256
2023-02-01,105.9,111.64,105.1,110.5,3826556
2023-02-02,117.54,117.59,113.91,115.93,4893996
2023-02-03,112.75,117.42,112.22,113.56,2505502
2023-02-06,111.39,115.12,108.82,109.42,2578692
2023-02-07,109.73,115.08,107.76,114.59,2591320
2023-02-08,118.18,119.19,114.39,114.48,3533873
2023-02-09,117.04,117.79,113.12,113.42,2188496
2023-02-10,111.99,112.62,107.6,108.96,2187675
2023-02-13,110.23,113.29,108.64,112.17,1538511
2023-02-14,112.04,116.66,110.41,116.31,2722960
2023-02-15,116.76,120.56,115.25,120.52,2887878
2023-02-16,117.72,118.73,115.06,115.12,2706175
2023-02-17,113.93,114.29,110.46,114.25,2443444
2023-02-21,112.02,114.75,111.51,112.43,2243337
2023-02-22,114.42,118.31,113.12,117.63,3749949
2023-02-23,119.5,120.55,114.83,117.44,3463834
2023-02-24,115.59,118.8,115.3,117.28,3297369
2023-02-27,118.64,123.25,118.3,120.65,3502994
2023-02-28,120.09,122.68,120.09,120.69,1952589
2023-03-01,120.23,121.05,118.6,120.21,1762533
2023-03-02,119.0,123.93,118.71,123.64,2512079
2023-03-03,123.3,127.12,121.7,126.04,3067173
2023-03-06,130.01,130.19,127.31,127.59,5131646
2023-03-07,127.0,128.6,124.51,124.93,4598618
2023-03-08,132.81,134.96,125.0,128.92,19437672
2023-03-09,128.11,130.09,121.52,121.68,5909004
2023-03-10,119.88,124.51,118.15,119.72,5577466
2023-03-13,119.11,123.6,118.23,121.41,4385953
2023-03-14,124.88,128.16,122.87,128.01,4560327
2023-03-15,126.92,130.19,126.53,129.32,3984205
2023-03-16,130.3,134.09,129.55,133.52,5015940
2023-03-17,133.75,136.47,131.86,133.12,3389468
2023-03-20,132.31,133.29,130.22,132.74,2727158
2023-03-21,131.73,136.9,131.27,136.02,3395408
2023-03-22,135.9,137.88,133.25,133.26,2433193
2023-03-23,135.96,138.33,133.13,134.54,2107046
2023-03-24,134.38,135.0,130.79,131.54,1790235
2023-03-27,132.2,133.25,130.29,131.39,1471668
2023-03-28,131.06,131.64,127.56,128.64,1748581
2023-03-29,131.2,131.4,128.68,129.6,1646749
2023-03-30,131.29,133.5,129.95,131.72,2377589
2023-03-31,132.53,138.24,132.11,137.26,2977498
2023-04-03,135.5,137.59,134.17,136.55,1674306
2023-04-04,137.71,138.67,135.73,136.86,1960023
2023-04-05,135.37,135.61,125.7,127.8,5416658
2023-04-06,126.0,128.14,123.7,127.82,2328157
2023-04-10,126.72,128.18,124.55,128.1,1650882
2023-04-11,127.6,131.72,127.27,129.86,2700383
2023-04-12,132.67,137.16,131.15,135.0,3789952
2023-04-13,136.43,140.21,135.72,136.1,3138015
2023-04-14,134.54,136.7,133.86,135.77,1802338
2023-04-17,136.66,137.95,134.64,137.37,1443829
2023-04-18,139.05,139.89,136.12,136.38,1151613
2023-04-19,135.0,135.69,132.01,132.83,1925143
2023-04-20,131.03,131.92,129.07,129.89,1523073
2023-04-21,130.58,132.74,130.15,132.25,1125516
2023-04-24,132.5,133.73,129.02,130.4,1341896
2023-04-25,127.83,128.47,121.81,122.15,4150078
2023-04-26,123.96,125.92,122.87,124.12,1709215
2023-04-27,125.23,127.5,123.56,126.05,1842966
2023-04-28,123.39,123.97,119.42,120.05,3444539
2023-05-01,118.56,119.94,116.89,118.79,2418745
2023-05-02,118.9,119.15,116.04,116.74,1997121
2023-05-03,116.46,119.03,115.67,117.67,1189291
2023-05-04,118.44,120.16,117.45,117.88,1339773
2023-05-05,119.23,123.23,119.02,122.45,1845017
2023-05-08,126.0,132.88,125.4,132.41,4072133
2023-05-09,132.41,134.17,129.16,129.94,2053811
2023-05-10,132.35,135.96,131.03,133.8,2507502
2023-05-11,134.14,134.81,131.27,132.15,1588848
2023-05-12,132.73,132.94,129.25,130.23,1229314
2023-05-15,130.89,135.92,130.41,135.55,2050759
2023-05-16,134.0,135.61,133.3,134.01,1306146
2023-05-17,134.84,139.09,133.61,137.23,2009290
2023-05-18,137.45,141.96,137.23,141.85,2397903
2023-05-19,142.74,148.34,142.39,144.72,4023470
2023-05-22,144.26,148.56,143.82,147.41,2143409
2023-05-23,146.11,148.63,143.79,143.9,2107422
2023-05-24,144.35,149.48,143.15,149.2,3294099
2023-05-25,150.79,151.13,147.19,149.61,2328752
2023-05-26,150.29,158.18,150.0,154.12,3419355
