date,open,high,low,close,volume
2022-07-05,167.18,167.33,164.41,164.75,10737060
2022-07-06,164.32,164.57,161.47,162.14,8250386
2022-07-07,162.43,163.04,162.06,162.23,3628933
2022-07-08,162.35,163.38,161.84,162.3,3380265
2022-07-11,161.93,162.44,161.37,161.43,3180300
2022-07-12,161.22,161.62,160.72,160.83,4069520
2022-07-13,160.1,162.71,160.06,161.6,6486713
2022-07-14,159.02,159.83,158.22,159.33,8202686
2022-07-15,159.01,159.25,158.35,159.01,4527018
2022-07-18,160.08,160.43,159.05,159.16,4259200
2022-07-19,159.47,159.87,159.33,159.54,2602435
2022-07-20,159.71,159.82,158.02,158.04,3784346
2022-07-21,158.31,160.31,158.26,160.27,4160561
2022-07-22,160.55,162.13,160.35,160.67,4413805
2022-07-25,160.64,160.7,159.81,160.23,2489357
2022-07-26,160.23,160.5,159.79,160.04,1811560
2022-07-27,160.02,162.21,159.51,161.67,4129585
2022-07-28,163.31,163.76,162.88,163.64,4032291
2022-07-29,163.89,164.69,163.28,164.1,4789898
2022-08-01,164.98,165.41,164.41,165.03,3549796
2022-08-02,165.66,166.46,164.02,164.05,3533106
2022-08-03,164.77,164.91,163.47,164.45,3447394
2022-08-04,165.53,167.31,165.34,167.17,3982655
2022-08-05,164.99,165.84,164.87,165.29,3303778
2022-08-08,166.03,166.82,165.93,166.69,2603687
2022-08-09,167.48,167.8,166.82,167.2,2342894
2022-08-10,167.39,167.98,166.62,166.78,2936834
2022-08-11,167.16,167.66,166.31,166.34,3264526
2022-08-12,167.17,167.94,166.83,167.87,3949965
2022-08-15,166.01,166.25,165.44,165.71,3999864
2022-08-16,165.31,165.72,165.18,165.42,3374378
2022-08-17,165.21,165.23,163.95,164.35,4284887
2022-08-18,164.6,164.92,163.54,163.92,2769948
2022-08-19,163.65,163.74,162.61,162.72,5490849
2022-08-22,161.66,162.12,161.36,161.64,2954705
2022-08-23,161.96,163.43,161.91,162.77,3113953
2022-08-24,162.44,163.61,162.37,163.25,2433214
2022-08-25,163.97,163.99,163.24,163.75,2119929
2022-08-26,163.12,163.61,161.55,161.76,4506898
2022-08-29,161.88,162.62,161.7,161.86,2992885
2022-08-30,161.27,161.43,160.34,160.51,3419479
2022-08-31,159.5,160.58,159.25,159.27,4346271
2022-09-01,158.17,158.39,157.32,157.87,5165112
2022-09-02,159.35,160.06,159.14,159.26,3735276
2022-09-06,159.17,159.46,158.32,158.33,3602258
2022-09-07,158.15,160.15,158.08,159.94,3040137
2022-09-08,159.54,159.86,158.71,158.98,3433572
2022-09-09,159.72,160.24,159.41,159.82,3041898
2022-09-12,161.04,161.62,160.55,160.63,3618708
2022-09-13,158.47,159.27,158.39,158.54,4835533
2022-09-14,158.68,158.98,157.73,157.93,4829121
2022-09-15,156.76,157.49,154.62,154.98,9866334
2022-09-16,154.66,156.56,154.34,155.84,5447705
2022-09-19,154.87,156.04,154.81,155.96,3992518
2022-09-20,155.03,155.23,154.59,155.07,4415107
2022-09-21,155.97,157.25,154.01,155.79,6141333
2022-09-22,156.26,156.48,155.31,155.7,4869640
2022-09-23,153.93,154.0,152.64,153.01,7780204
2022-09-26,153.22,153.51,151.03,151.23,6669700
2022-09-27,152.25,152.73,151.5,151.54,6119756
2022-09-28,153.2,154.88,152.93,154.69,6702466
2022-09-29,154.14,155.03,153.16,154.66,4924788
2022-09-30,154.94,156.05,154.57,154.67,4911296
2022-10-03,155.44,158.48,155.23,158.43,7657755
2022-10-04,159.18,161.08,158.92,160.7,6257328
2022-10-05,159.32,160.08,158.38,159.81,4173596
2022-10-06,159.41,159.94,158.95,159.63,3922460
2022-10-07,158.46,158.98,157.68,157.88,3931416
2022-10-10,155.94,156.35,155.12,155.48,4554438
2022-10-11,155.46,156.81,154.92,155.16,3823895
2022-10-12,155.51,156.29,155.26,155.99,2321872
2022-10-13,153.48,155.73,152.92,154.91,5073395
2022-10-14,154.02,154.2,152.72,152.98,3630719
2022-10-17,154.92,155.33,153.32,153.42,3586109
2022-10-18,154.08,154.24,153.24,153.75,3282262
2022-10-19,152.09,152.49,151.54,151.69,5344914
2022-10-20,151.92,153.23,151.27,151.45,3569463
2022-10-21,151.98,154.31,151.83,154.15,5107539
2022-10-24,153.45,154.06,153.06,153.65,3505400
2022-10-25,153.96,154.79,153.83,154.0,2648850
2022-10-26,154.78,155.73,154.78,154.98,3346814
2022-10-27,154.71,155.09,154.22,154.74,2482894
2022-10-28,152.96,153.54,152.5,153.16,3645336
2022-10-31,152.16,152.88,151.89,151.91,4943056
