date,open,high,low,close,volume
2022-07-05,107.66,114.05,106.25,113.89,14425940
2022-07-06,114.09,116.35,112.25,115.21,11673380
2022-07-07,115.9,119.86,115.53,119.31,11999920
2022-07-08,117.6,120.43,117.51,120.17,10157640
2022-07-11,118.65,118.79,116.23,116.52,9244080
2022-07-12,116.84,117.85,114.62,114.85,8755160
2022-07-13,112.61,115.16,111.82,112.19,13261760
2022-07-14,110.95,111.99,109.33,111.44,10534460
2022-07-15,112.96,114.0,111.82,112.77,10481580
2022-07-18,113.44,114.8,109.3,109.91,21131643
2022-07-19,111.7,114.81,110.5,114.62,19085795
2022-07-20,114.06,116.33,113.26,114.7,18749656
2022-07-21,115.09,115.21,111.91,115.04,18050591
2022-07-22,111.8,113.18,107.6,108.36,31539246
2022-07-25,108.85,110.58,107.01,108.21,19457701
2022-07-26,107.43,107.74,104.76,105.44,21108444
2022-07-27,109.6,114.4,108.42,113.6,27616204
2022-07-28,112.8,114.7,111.85,114.59,15439065
2022-07-29,113.26,116.9,113.23,116.64,18161199
2022-08-01,115.59,117.12,114.69,115.48,14328588
2022-08-02,114.41,117.08,114.26,115.9,10161966
2022-08-03,116.34,119.42,116.15,118.78,15812737
2022-08-04,118.22,119.5,117.71,118.87,9617787
2022-08-05,116.92,118.86,116.69,118.22,9488139
2022-08-08,119.04,120.86,117.83,118.14,11257636
2022-08-09,118.05,118.2,116.56,117.5,9389333
2022-08-10,119.59,121.78,119.36,120.65,12961954
2022-08-11,122.08,122.35,119.55,119.82,11217480
2022-08-12,121.17,122.65,120.4,122.65,10243869
2022-08-15,122.12,123.26,121.57,122.88,9870529
2022-08-16,122.32,123.23,121.53,122.51,9787313
2022-08-17,120.93,122.15,120.2,120.32,11743469
2022-08-18,120.26,121.69,119.56,120.86,10472791
2022-08-19,119.92,120.0,117.67,118.12,12452696
2022-08-22,116.09,116.5,114.67,115.07,11673042
2022-08-23,114.36,115.93,114.3,114.77,9627372
2022-08-24,114.49,115.72,113.78,114.7,10076755
