date,open,high,low,close,volume
2022-07-06,10.01,10.31,9.74,9.8,52232062
2022-07-07,9.76,10.28,9.75,10.18,33656427
2022-07-08,9.92,10.38,9.83,10.17,34868329
2022-07-11,9.98,9.9938,9.53,9.56,32092638
2022-07-12,9.66,9.9599,9.27,9.49,37209036
2022-07-13,9.22,9.55,9.05,9.28,30090707
2022-07-14,9.23,9.28,8.85,8.9,24539174
2022-07-15,9.01,9.12,8.65,9.04,32041419
2022-07-18,9.25,9.45,9.005,9.03,29596584
2022-07-19,9.15,9.37,8.89,9.34,26158727
2022-07-20,9.44,10.2,9.44,10.11,38247040
2022-07-21,10.37,10.76,10.22,10.49,46468192
2022-07-22,10.35,10.57,9.73,9.84,36480993
2022-07-25,9.83,9.85,9.52,9.68,19636458
2022-07-26,9.66,9.66,9.38,9.4,19742107
2022-07-27,9.67,10.03,9.5,10.02,26953154
2022-07-28,10.03,10.2,9.74,10.13,24394956
2022-07-29,10.01,10.35,9.92,10.35,27360679
2022-08-01,10.25,10.7,10.1216,10.47,29634241
2022-08-02,10.32,11.23,10.26,10.92,38070803
2022-08-03,11.09,11.34,11.04,11.2,32825416
2022-08-04,11.19,11.41,11.03,11.32,29891358
2022-08-05,11.01,11.62,10.85,11.45,45815384
2022-08-08,9.77,10.4,9.71,9.82,102347938
2022-08-09,9.54,9.57,9.01,9.25,52035891
2022-08-10,9.51,9.66,9.32,9.59,41315975
2022-08-11,9.76,10.05,9.4,9.42,40716832
2022-08-12,9.55,9.97,9.42,9.91,27408616
2022-08-15,9.82,10.1,9.76,9.91,30838534
2022-08-16,9.85,9.88,9.36,9.74,37468898
2022-08-17,9.56,9.6188,9.33,9.43,31149104
2022-08-18,9.42,9.47,9.12,9.15,24098297
2022-08-19,9.0,9.01,8.48,8.51,37160153
2022-08-22,8.32,8.4,8.06,8.07,34984127
2022-08-23,8.1,8.28,8.0,8.01,23050086
2022-08-24,8.04,8.36,7.98,8.1,24249313
2022-08-25,8.22,8.43,8.05,8.42,23710028
2022-08-26,8.42,8.43,7.93,7.94,30861673
2022-08-29,7.82,7.9983,7.76,7.81,25888311
2022-08-30,7.93,7.975,7.68,7.79,22104780
2022-08-31,7.95,8.0,7.7,7.72,23738789
2022-09-01,7.61,7.62,7.22,7.49,35258656
2022-09-02,7.67,7.68,7.35,7.4,23652454
2022-09-06,7.45,7.46,7.17,7.28,26027536
2022-09-07,7.27,7.43,7.18,7.39,27912750
2022-09-08,7.33,7.53,7.27,7.53,22720349
2022-09-09,7.68,7.82,7.64,7.79,22478276
2022-09-12,7.86,8.03,7.82,8.01,25215742
2022-09-13,7.63,7.66,7.45,7.48,25536016
2022-09-14,7.45,7.63,7.33,7.63,25896187
2022-09-15,7.47,8.1,7.45,8.01,46477920
2022-09-16,7.75,7.93,7.64,7.78,33819103
2022-09-19,7.64,7.86,7.58,7.86,25646193
2022-09-20,7.78,7.915,7.6,7.62,26444138
2022-09-21,7.72,8.07,7.655,7.69,34340556
2022-09-22,7.74,7.74,7.24,7.37,45555483
2022-09-23,7.2,7.42,7.13,7.4,31136665
2022-09-26,7.35,7.83,7.35,7.53,42733707
2022-09-27,7.69,7.835,7.46,7.63,29362009
2022-09-28,7.63,8.0,7.62,7.94,29027001
2022-09-29,8.05,8.33,7.78,8.08,53141098
2022-09-30,8.01,8.5,7.9709,8.13,41416646
2022-10-03,8.145,8.3,7.97,8.24,32511733
2022-10-04,8.48,8.61,8.34,8.46,33269601
2022-10-05,8.26,8.485,8.075,8.42,35049657
2022-10-06,8.4,8.6,8.315,8.47,26016661
2022-10-07,8.26,8.28,8.11,8.15,27218938
2022-10-10,8.17,8.18,7.88,8.06,24953612
2022-10-11,7.99,8.295,7.7,8.04,38314792
2022-10-12,8.06,8.1,7.82,8.07,28160784
2022-10-13,7.74,8.2,7.565,8.08,32698646
2022-10-14,8.23,8.31,7.53,7.53,34222782
2022-10-17,7.71,8.06,7.69,7.94,29183819
2022-10-18,8.15,8.33,8.04,8.16,34338961
2022-10-19,8.06,8.125,7.845,7.91,24464716
2022-10-20,7.73,8.26,7.73,8.04,24684268
2022-10-21,7.93,8.32,7.81,8.29,28782520
2022-10-24,8.3,8.3,8.01,8.27,25330923
2022-10-25,8.36,8.66,8.36,8.66,28167260
2022-10-26,8.48,9.05,8.39,8.57,31754064
2022-10-27,8.68,8.78,8.46,8.6,26367955
2022-10-28,8.55,8.66,8.365,8.64,19271555
2022-10-31,8.59,8.83,8.43,8.79,28146206
2022-11-01,8.99,9.06,8.56,8.65,27268918
2022-11-02,8.7,8.76,8.2,8.22,33591725
2022-11-03,8.07,8.3,7.87,8.08,34681245
2022-11-04,8.19,8.2,7.65,7.93,59638918
2022-11-07,7.78,7.85,6.89,7.02,91925377
2022-11-08,7.08,7.42,6.91,7.21,53368983
2022-11-09,7.12,7.185,6.95,6.98,39542575
2022-11-10,7.46,7.97,7.43,7.64,53570334
2022-11-11,7.48,8.42,7.375,8.41,52206188
2022-11-14,8.18,8.32,7.953,8.1,34513879
2022-11-15,8.45,8.47,8.155,8.34,32145859
2022-11-16,8.18,8.24,8.0,8.06,26689452
2022-11-17,7.83,7.88,7.525,7.62,31430829
2022-11-18,7.76,7.79,7.31,7.39,24210161
2022-11-21,7.31,7.32,7.07,7.19,33909143
2022-11-22,7.18,7.25,6.98,7.22,25403857
2022-11-23,7.25,7.42,7.12,7.37,22269619
2022-11-25,7.32,7.3394,7.19,7.28,9880095
2022-11-28,7.23,7.4,7.15,7.16,17615963
2022-11-29,7.2,7.3,7.05,7.08,20224299
2022-11-30,7.14,7.51,7.0325,7.5,27960647
2022-12-01,7.51,7.88,7.47,7.86,30066255
2022-12-02,7.615,7.76,7.5,7.66,16557138
2022-12-05,7.62,7.695,7.105,7.19,29423422
2022-12-06,7.19,7.195,6.88,6.99,30529224
2022-12-07,7.08,7.35,7.02,7.07,24609555
2022-12-08,7.1,7.27,6.94,7.12,20902904
2022-12-09,7.06,7.19,7.03,7.11,21056857
2022-12-12,7.11,7.31,7.09,7.29,20335874
2022-12-13,7.73,7.97,7.49,7.5,37679357
2022-12-14,7.5,7.6,7.265,7.35,20149616
2022-12-15,7.17,7.298,7.01,7.01,20353399
2022-12-16,7.02,7.08,6.76,6.9,26353356
2022-12-19,6.8,6.83,6.32,6.35,37832112
2022-12-20,6.29,6.54,6.2,6.31,27280850
2022-12-21,6.24,6.52,6.04,6.5,31231098
2022-12-22,6.37,6.38,6.18,6.32,26408524
2022-12-23,6.27,6.3,6.07,6.29,18964446
2022-12-27,6.15,6.22,5.92,6.0,32310176
2022-12-28,5.97,6.17,5.95,6.07,26879713
2022-12-29,6.1,6.525,6.1,6.4,40154091
2022-12-30,6.19,6.42,6.19,6.42,25188279
2023-01-03,6.56,6.64,6.275,6.39,27259494
2023-01-04,6.48,6.675,6.37,6.58,29572201
2023-01-05,6.45,6.49,6.25,6.32,30441238
2023-01-06,6.4,6.4499,6.09,6.4,28020645
2023-01-09,6.49,6.67,6.4,6.5,27801416
2023-01-10,6.5,6.72,6.49,6.7,26437483
2023-01-11,6.84,6.99,6.76,6.98,24189715
2023-01-12,7.01,7.05,6.78,7.01,27776043
2023-01-13,6.84,7.01,6.81,6.96,19274488
2023-01-17,6.99,7.15,6.73,7.07,29040006
2023-01-18,7.155,7.3,6.88,6.9,30424388
2023-01-19,6.8,6.895,6.67,6.73,23130088
2023-01-20,6.76,7.06,6.72,7.02,27132366
2023-01-23,7.03,7.41,6.991,7.38,29200953
2023-01-24,8.76,8.76,6.13,7.02,20553773
2023-01-25,6.92,7.27,6.69,7.22,34900813
