date,open,high,low,close,volume
2022-07-05,222.67,233.15,216.17,233.07,51325419
2022-07-06,230.78,234.56,227.19,231.73,43118808
2022-07-07,233.92,245.36,232.21,244.54,49748736
2022-07-08,242.33,254.98,241.16,250.76,62366049
2022-07-11,252.1,253.06,233.63,234.34,58781946
2022-07-12,236.81,239.77,228.37,233.07,53268507
2022-07-13,225.49,242.06,225.03,237.04,58717800
2022-07-14,234.63,238.65,229.33,238.31,48040356
2022-07-15,240.17,243.62,236.89,240.07,37562901
2022-07-18,245.0,250.52,239.6,240.55,50129235
2022-07-19,244.99,247.14,236.98,245.53,48661284
2022-07-20,246.93,250.66,243.48,247.5,44547378
2022-07-21,255.11,273.27,254.87,271.71,81231033
2022-07-22,276.29,280.79,270.71,272.24,56804760
2022-07-25,272.22,274.15,267.4,268.43,36232083
2022-07-26,266.51,267.31,256.26,258.86,39828096
2022-07-27,263.71,275.93,261.79,274.82,50353176
2022-07-28,280.07,283.3,272.8,280.9,49052376
2022-07-29,280.56,298.32,279.1,297.15,54104145
2022-08-01,301.28,311.88,295.0,297.28,67770237
2022-08-02,294.01,307.83,292.67,300.59,57167835
2022-08-03,305.06,309.55,301.15,307.4,45914160
2022-08-04,311.0,313.61,305.0,308.63,41360619
2022-08-05,302.67,304.61,285.54,288.17,63372324
2022-08-08,295.0,305.19,289.08,290.42,56775183
2022-08-09,290.29,292.4,279.35,283.33,50354028
2022-08-10,297.07,297.51,283.37,294.36,52228986
2022-08-11,296.43,298.24,285.83,286.63,40699593
2022-08-12,289.45,300.16,285.03,300.03,45510591
2022-08-15,301.79,313.13,301.23,309.32,52211061
2022-08-16,311.67,314.67,302.88,306.56,53303241
2022-08-17,303.4,309.66,300.03,304.0,41207451
2022-08-18,306.04,306.5,301.85,302.87,26892144
2022-08-19,298.95,300.36,292.5,296.67,34484790
2022-08-22,292.0,292.4,286.3,289.91,30666270
2022-08-23,291.45,298.83,287.92,296.45,37413300
2022-08-24,297.56,303.65,296.5,297.1,31565193
2022-08-25,302.38,302.96,291.6,296.07,35073581
2022-08-26,297.37,302.0,287.47,288.09,37644272
2022-08-29,282.83,287.74,280.7,284.82,27804040
2022-08-30,287.87,288.48,272.65,277.7,33855808
2022-08-31,280.56,281.25,271.81,275.61,31772383
2022-09-01,272.57,277.58,266.15,277.16,37164585
2022-09-02,281.11,282.35,269.08,270.21,33713159
2022-09-06,272.68,275.99,265.74,274.42,37348639
2022-09-07,273.1,283.84,272.27,283.7,32701747
2022-09-08,281.3,289.5,279.76,289.26,37913351
2022-09-09,291.66,299.85,291.24,299.68,37530087
2022-09-12,300.71,305.49,300.4,304.42,32371250
2022-09-13,292.9,297.4,290.4,292.13,41390720
2022-09-14,292.12,306.0,291.64,302.61,48665857
2022-09-15,301.8,309.12,300.72,303.75,44733673
2022-09-16,299.61,303.71,295.6,303.35,42781179
2022-09-19,300.09,309.84,297.8,309.07,41958025
2022-09-20,306.9,313.33,305.58,308.73,44166229
2022-09-21,308.3,313.8,300.63,300.8,43105199
2022-09-22,299.98,301.29,285.82,288.59,47886124
2022-09-23,283.12,284.5,272.82,275.33,41428690
2022-09-26,272.13,284.09,270.31,276.01,37876247
2022-09-27,283.84,288.67,277.51,282.94,42470467
2022-09-28,283.08,289.0,277.57,287.81,35355723
2022-09-29,282.8,283.65,265.81,268.21,53248747
2022-09-30,266.15,275.57,262.47,265.25,44774671
2022-10-03,254.49,255.16,241.01,242.4,66779613
2022-10-04,250.52,257.5,242.01,249.44,77937532
2022-10-05,245.01,246.67,233.27,240.81,61973057
2022-10-06,239.39,244.58,235.35,238.13,49238934
2022-10-07,233.9,234.58,222.02,223.07,57958449
2022-10-10,224.0,226.99,218.35,222.96,48795426
2022-10-11,221.01,225.75,215.0,216.5,57160049
2022-10-12,215.4,219.3,211.51,217.24,48470715
2022-10-13,208.3,222.99,206.22,221.72,65063147
2022-10-14,224.01,226.26,204.16,204.99,67844702
2022-10-17,209.99,221.86,209.45,219.35,58311719
2022-10-18,229.19,229.82,217.25,220.19,57520127
2022-10-19,219.8,222.93,217.78,222.04,40521915
2022-10-20,208.28,215.55,202.0,207.28,87344711
2022-10-21,206.42,214.66,203.8,214.44,53083537
2022-10-24,205.82,213.5,198.58,211.25,74505688
2022-10-25,210.13,224.35,210.0,222.41,76202190
2022-10-26,219.19,230.6,218.2,224.64,65712299
2022-10-27,229.85,233.81,222.85,225.09,45786396
2022-10-28,225.33,228.86,216.35,228.52,53264120
2022-10-31,226.19,229.85,221.94,227.54,47150125
2022-11-01,234.09,237.4,227.28,227.82,47390312
2022-11-02,226.04,227.87,214.82,214.98,46511716
2022-11-03,211.21,221.2,210.14,215.31,41789791
2022-11-04,222.6,223.8,203.08,207.47,75929372
2022-11-07,208.65,208.9,196.66,197.08,69678135
2022-11-08,194.02,195.2,186.75,191.3,99835973
2022-11-09,190.78,195.89,177.12,177.59,97551036
2022-11-10,189.7,191.0,180.03,190.72,96071527
2022-11-11,185.92,196.52,182.59,195.97,90808594
2022-11-14,192.77,195.73,186.34,190.95,73966318
2022-11-15,195.88,200.83,192.06,194.42,69034564
2022-11-16,191.45,192.57,185.66,186.92,50493472
2022-11-17,183.96,186.16,180.9,183.17,48724913
2022-11-18,185.03,185.19,176.55,180.19,58551157
2022-11-21,175.81,176.77,167.54,167.87,69410545
2022-11-22,168.66,170.92,166.18,169.91,60987014
2022-11-23,173.57,183.62,172.5,183.2,86322519
2022-11-25,185.13,185.2,180.63,182.86,38524677
2022-11-28,179.99,188.5,179.0,182.92,74887252
2022-11-29,185.0,186.38,178.75,180.83,65618342
2022-11-30,182.49,194.76,180.63,194.7,80193784
2022-12-01,197.08,198.92,191.8,194.7,62048243
2022-12-02,191.78,196.25,191.11,194.86,57093866
2022-12-05,189.44,191.27,180.55,182.45,69351004
2022-12-06,181.19,183.65,175.33,179.82,73428717
2022-12-07,175.03,179.38,172.21,174.04,66103318
2022-12-08,171.99,175.2,169.06,173.44,77181889
2022-12-09,173.84,182.5,173.36,179.05,83727059
2022-12-12,176.13,177.37,167.52,167.82,83309251
2022-12-13,174.86,175.09,156.91,160.95,126988747
2022-12-14,159.23,161.62,155.31,156.8,109497881
2022-12-15,153.41,160.93,153.28,157.67,94062032
2022-12-16,159.64,160.99,150.04,150.23,92971601
2022-12-19,154.0,155.25,145.82,149.87,110676425
2022-12-20,146.1,148.47,137.66,137.8,124396721
2022-12-21,139.35,141.26,135.91,137.57,117677588
2022-12-22,136.0,136.63,122.26,125.35,167172113
2022-12-23,126.37,128.62,121.02,123.15,134792294
2022-12-27,117.49,119.67,108.76,109.1,161652441
2022-12-28,110.35,116.27,108.24,112.71,174038504
2022-12-29,120.39,123.57,117.49,121.82,175670362
2022-12-30,119.96,124.48,119.74,123.18,128823631
