date,open,high,low,close,volume
2022-07-05,30.15,30.63,29.71,30.63,523837
2022-07-06,30.7,31.03,30.03,30.57,908691
2022-07-07,30.69,31.1,30.6,30.82,506074
2022-07-08,30.93,31.09,30.48,30.63,447355
2022-07-11,30.44,30.56,30.07,30.28,485448
2022-07-12,30.11,31.01,30.11,30.62,526103
2022-07-13,30.36,30.52,29.49,30.37,810230
2022-07-14,30.03,30.17,29.74,30.02,351014
2022-07-15,30.45,31.06,30.3,31.03,350063
2022-07-18,30.75,31.14,30.31,30.73,633890
2022-07-19,31.13,31.72,31.09,31.65,399140
2022-07-20,31.76,32.32,31.58,32.17,402485
2022-07-21,32.23,32.42,31.88,32.42,410645
2022-07-22,32.4,32.76,32.2,32.57,334231
2022-07-25,32.76,32.97,32.45,32.65,474285
2022-07-26,32.42,32.58,31.33,31.57,306685
2022-07-27,31.81,32.16,31.54,32.1,279863
2022-07-28,32.06,32.42,31.55,32.37,275181
2022-07-29,32.28,32.33,30.73,30.9,759225
2022-08-01,30.79,31.17,30.63,31.1,533753
2022-08-02,31.15,31.41,30.86,30.93,369833
2022-08-03,30.97,31.5,30.92,31.29,277936
2022-08-04,31.16,31.65,31.03,31.19,334160
2022-08-05,30.86,31.19,30.6,31.0,322064
2022-08-08,31.14,31.45,31.01,31.13,285588
2022-08-09,31.34,31.62,31.06,31.35,400633
2022-08-10,32.0,32.99,31.85,32.37,838221
2022-08-11,32.69,33.75,32.69,33.66,1061602
2022-08-12,33.76,34.0,33.38,33.75,700070
2022-08-15,33.49,33.65,33.22,33.57,656279
2022-08-16,33.49,33.87,33.38,33.74,441744
2022-08-17,33.52,33.75,33.26,33.43,303018
2022-08-18,33.54,33.67,33.12,33.23,317777
2022-08-19,33.08,33.15,32.73,32.91,364969
2022-08-22,32.6,32.6,31.83,31.99,274485
2022-08-23,32.01,32.44,31.69,31.82,434388
2022-08-24,31.82,32.41,31.61,32.08,330488
2022-08-25,32.31,32.4,32.05,32.29,469468
2022-08-26,32.33,32.68,31.64,31.72,703973
2022-08-29,31.69,31.96,31.33,31.73,726997
2022-08-30,31.75,31.85,31.38,31.64,1018559
2022-08-31,31.7,32.12,31.6,31.62,674542
2022-09-01,31.55,31.62,31.21,31.53,654250
2022-09-02,31.86,32.03,31.15,31.24,524016
2022-09-06,31.32,31.32,30.24,30.55,1019938
2022-09-07,30.52,30.98,30.4,30.87,823836
2022-09-08,30.66,30.95,30.14,30.94,641024
2022-09-09,31.06,32.04,31.06,31.97,411421
2022-09-12,32.15,32.41,32.03,32.3,486039
2022-09-13,31.75,31.94,31.04,31.1,641947
2022-09-14,31.13,31.17,30.34,31.03,736526
2022-09-15,31.03,32.28,31.01,32.03,546432
2022-09-16,32.04,32.07,30.82,31.19,907185
2022-09-19,31.06,31.98,31.01,31.95,492650
2022-09-20,31.8,31.88,31.43,31.7,523800
2022-09-21,31.83,31.96,30.39,30.4,537334
2022-09-22,30.41,30.49,29.87,29.89,442693
2022-09-23,29.71,29.71,29.02,29.47,465930
2022-09-26,29.29,29.79,28.87,28.96,544913
2022-09-27,29.14,29.58,28.57,28.71,620032
2022-09-28,28.76,29.28,28.57,29.18,694543
2022-09-29,28.78,28.87,28.12,28.37,935996
2022-09-30,28.48,29.09,28.39,28.5,558510
2022-10-03,28.87,29.08,28.39,29.04,668772
2022-10-04,29.33,30.07,29.19,29.98,879288
2022-10-05,29.61,29.73,29.15,29.25,614196
2022-10-06,29.64,29.68,28.88,29.01,631986
2022-10-07,28.85,29.26,28.63,29.11,1196207
2022-10-10,29.17,29.5,28.86,28.93,356363
2022-10-11,28.75,28.88,28.24,28.53,463104
2022-10-12,28.53,28.68,28.16,28.29,422780
2022-10-13,27.88,29.44,27.86,29.38,790450
2022-10-14,29.5,29.79,29.0,29.16,623080
2022-10-17,28.05,28.1,26.54,26.8,2778076
2022-10-18,27.34,28.09,27.06,27.58,1416256
2022-10-19,27.47,28.1,27.27,27.66,838362
2022-10-20,27.78,27.86,27.31,27.36,567735
2022-10-21,27.28,27.9,27.19,27.61,536523
2022-10-24,27.84,28.03,27.32,27.73,802595
2022-10-25,27.7,28.1,27.54,28.0,666905
2022-10-26,28.2,28.32,27.22,27.25,890096
2022-10-27,27.52,27.57,26.43,26.57,687226
2022-10-28,26.79,27.28,26.49,27.21,868726
2022-10-31,27.25,27.31,26.9,27.2,674252
2022-11-01,28.09,29.46,27.81,28.61,973174
2022-11-02,28.41,29.18,28.13,28.17,615380
2022-11-03,27.92,28.2,27.59,28.02,820614
2022-11-04,28.37,28.52,27.29,27.83,783152
2022-11-07,28.11,28.28,27.08,27.44,936832
2022-11-08,27.53,28.04,27.24,27.62,798091
2022-11-09,27.08,27.15,26.35,26.66,1213305
2022-11-10,27.6,28.01,27.35,27.7,1249494
2022-11-11,27.91,28.91,27.76,28.76,682201
2022-11-14,28.76,29.37,28.76,28.79,682366
2022-11-15,29.0,29.56,28.72,28.99,622289
2022-11-16,29.08,29.08,28.28,28.86,797405
2022-11-17,28.45,29.0,28.45,28.84,578882
2022-11-18,29.18,29.29,28.89,29.14,404747
2022-11-21,29.28,29.34,28.55,28.84,513449
2022-11-22,28.9,29.24,28.87,29.12,986104
2022-11-23,29.16,29.33,28.96,29.25,924328
2022-11-25,29.19,29.49,29.17,29.45,313364
2022-11-28,29.35,29.57,29.04,29.25,625708
2022-11-29,29.19,29.95,29.03,29.94,443608
2022-11-30,29.86,30.58,29.51,30.52,563462
2022-12-01,30.62,30.88,29.95,30.28,466214
2022-12-02,30.08,30.63,29.86,30.61,543862
2022-12-05,30.43,30.72,30.09,30.15,421241
2022-12-06,30.23,30.37,29.08,29.23,544847
2022-12-07,29.24,29.25,28.55,28.92,386417
2022-12-08,29.02,29.73,28.86,29.26,581808
2022-12-09,29.26,29.69,29.07,29.41,477404
2022-12-12,29.31,29.67,29.17,29.66,475891
2022-12-13,30.11,30.79,29.88,30.04,600244
2022-12-14,29.91,30.37,29.61,29.77,678377
2022-12-15,29.36,29.62,28.73,28.74,594485
2022-12-16,28.57,28.93,28.47,28.68,1101385
2022-12-19,28.57,28.62,27.46,27.63,909514
2022-12-20,27.61,28.14,27.53,28.1,474010
2022-12-21,28.22,28.57,28.15,28.39,349439
2022-12-22,28.16,28.63,28.08,28.54,365602
2022-12-23,28.54,28.89,28.54,28.85,340506
2022-12-27,28.75,28.81,28.36,28.66,291195
2022-12-28,28.71,28.71,28.15,28.15,185171
2022-12-29,28.3,28.87,28.24,28.58,205145
2022-12-30,28.38,28.47,28.05,28.45,453365
2023-01-03,28.44,28.7,28.14,28.34,467393
2023-01-04,28.56,29.42,28.22,29.37,457366
2023-01-05,29.25,29.33,28.79,28.95,271005
2023-01-06,29.21,29.87,29.08,29.8,307844
2023-01-09,29.8,30.04,29.38,29.4,620595
2023-01-10,29.36,30.03,29.3,29.98,927728
2023-01-11,30.14,30.21,29.63,30.09,501514
2023-01-12,30.14,30.39,29.8,30.25,393929
2023-01-13,30.03,30.42,29.95,30.31,340039
2023-01-17,30.39,30.49,29.8,29.88,619944
2023-01-18,29.9,30.15,29.5,29.52,292356
2023-01-19,29.33,29.47,28.95,29.41,421575
2023-01-20,29.53,29.71,29.27,29.71,515293
2023-01-23,29.74,30.77,29.68,30.69,302576
2023-01-24,30.54,30.78,30.41,30.63,284035
2023-01-25,30.82,31.77,30.51,31.33,723554
2023-01-26,31.41,31.79,31.3,31.72,312677
2023-01-27,31.58,31.8,31.45,31.62,262345
2023-01-30,31.37,31.62,31.25,31.41,420197
2023-01-31,31.54,31.7,31.28,31.7,323339
2023-02-01,31.44,32.17,31.23,32.01,547899
2023-02-02,32.01,32.94,31.98,32.71,463660
2023-02-03,32.41,32.67,32.23,32.3,893129
2023-02-06,32.12,32.12,31.56,31.81,356216
2023-02-07,31.65,31.88,31.2,31.8,473863
2023-02-08,33.17,34.31,32.89,33.21,1140914
2023-02-09,33.55,33.94,33.08,33.21,1125030
2023-02-10,33.14,33.45,32.94,33.2,425121
2023-02-13,33.18,33.48,32.88,33.08,517830
2023-02-14,32.89,33.36,32.76,33.13,364405
2023-02-15,33.11,34.37,33.03,34.36,639827
2023-02-16,33.93,34.42,33.85,33.99,656286
2023-02-17,33.99,34.38,33.72,34.22,947913
2023-02-21,33.83,34.27,33.34,33.36,879999
2023-02-22,33.38,33.85,33.34,33.68,573681
2023-02-23,33.63,33.93,33.17,33.57,693788
2023-02-24,33.05,33.36,32.94,33.06,493775
2023-02-27,33.24,33.27,32.81,32.85,574634
2023-02-28,32.59,32.82,32.09,32.25,545649
2023-03-01,32.12,32.21,31.86,32.04,612920
2023-03-02,31.99,32.36,31.92,32.3,694091
2023-03-03,32.43,32.54,32.08,32.2,535524
2023-03-06,32.39,32.7,31.95,32.07,690887
2023-03-07,32.06,32.38,31.91,31.97,701655
2023-03-08,32.0,32.24,31.64,31.84,728430
2023-03-09,31.87,32.04,30.61,30.63,545071
2023-03-10,30.46,30.71,30.16,30.51,743748
2023-03-13,30.12,30.38,29.64,29.73,699482
2023-03-14,30.14,30.52,29.87,30.19,594731
2023-03-15,29.72,30.1,29.58,29.83,661184
2023-03-16,29.73,30.33,29.6,30.22,485276
2023-03-17,30.11,30.36,29.98,30.1,574687
2023-03-20,30.12,30.92,30.01,30.7,495373
2023-03-21,30.96,31.31,30.73,31.03,584901
2023-03-22,30.95,31.27,30.56,30.57,502516
2023-03-23,30.65,31.44,30.65,30.91,357993
2023-03-24,30.65,30.65,29.58,30.38,543579
2023-03-27,30.48,31.29,30.44,30.98,462874
2023-03-28,30.18,30.65,30.07,30.13,600961
2023-03-29,30.48,30.6,30.27,30.52,530645
2023-03-30,30.69,31.09,30.68,30.89,504649
2023-03-31,31.05,31.33,30.96,31.31,684446
2023-04-03,31.3,31.57,31.2,31.37,475726
2023-04-04,31.47,31.63,30.89,31.16,389311
2023-04-05,30.91,31.13,30.73,31.02,338972
2023-04-06,30.65,30.93,30.55,30.74,429392
2023-04-10,30.68,31.23,30.68,31.19,375108
2023-04-11,31.13,31.7,31.13,31.47,555783
2023-04-12,31.68,31.79,30.94,31.01,393665
2023-04-13,31.17,31.33,31.05,31.17,383167
2023-04-14,31.06,31.22,30.47,30.75,551308
2023-04-17,30.84,31.27,30.71,31.22,567537
2023-04-18,31.2,31.37,30.92,31.2,1350630
2023-04-19,30.75,31.18,30.06,31.06,842853
2023-04-20,30.88,31.18,30.74,30.89,499570
2023-04-21,30.82,30.86,30.26,30.82,365445
2023-04-24,30.84,31.02,29.27,29.91,3051403
2023-04-25,29.73,30.15,29.49,29.72,970700
2023-04-26,29.66,30.13,29.63,29.73,939392
2023-04-27,29.83,30.19,29.28,30.15,726453
2023-04-28,30.02,30.75,30.0,30.54,601591
2023-05-01,30.44,30.91,30.4,30.62,411704
2023-05-02,30.44,30.45,29.82,30.33,461170
2023-05-03,30.45,30.7,29.95,29.97,543345
2023-05-04,29.41,29.45,28.53,28.63,937677
2023-05-05,28.91,29.49,28.81,29.39,534343
2023-05-08,29.5,29.69,29.26,29.56,551215
2023-05-09,29.8,30.45,29.04,29.12,804276
2023-05-10,29.51,29.55,28.14,28.64,1024040
2023-05-11,28.43,28.54,27.79,28.16,711379
